name,ligID,targetID_autodock,instance_autodock,score_autodock,targetID_dock,instance_dock,score_dock,rmsd_autodock_dock,consensus
ZINC000000000287,lig0165,target001,autodock,-6.020,target001,dock,-27.150,2.857,False
ZINC000000000288,lig0166,target001,autodock,-8.170,target001,,,,False
ZINC000000000290,lig0167,target001,autodock,-6.430,target001,dock,-33.486,7.009,False
ZINC000000000296,lig0168,target001,autodock,-6.990,target001,dock,-30.718,3.922,False
ZINC000000000298,lig0169,target001,autodock,-6.350,target001,dock,-28.746,20.231,False
ZINC000000000305,lig0170,target001,autodock,-7.880,target001,dock,-38.524,7.765,False
ZINC000000000316,lig0171,target001,autodock,-6.230,target001,dock,-29.771,18.614,False
ZINC000000000327,lig0172,target001,autodock,-6.480,target001,dock,-32.765,17.561,False
ZINC000000000334,lig0173,target001,autodock,-7.720,target001,dock,-33.808,2.505,False
ZINC000000000340,lig0174,target001,autodock,-8.960,target001,,,,False
ZINC000000000345,lig0175,target001,autodock,-5.050,target001,dock,-25.563,3.976,False
ZINC000000000346,lig0176,target001,autodock,-7.550,target001,,,,False
ZINC000000000350,lig0177,target001,autodock,-7.690,target001,,,,False
ZINC000000000359,lig0178,target001,autodock,-7.850,target001,,,,False
ZINC000000000370,lig0179,target001,autodock,-8.410,target001,dock,-34.760,4.985,False
ZINC000000000371,lig0180,target001,autodock,-6.050,target001,dock,-25.690,20.710,False
ZINC000000000378,lig0181,target001,autodock,-5.430,target001,dock,-25.698,23.188,False
ZINC000000000381,lig0182,target001,autodock,-7.450,target001,dock,-32.260,21.706,False
ZINC000000000383,lig0183,target001,autodock,-8.380,target001,,,,False
ZINC000000000389,lig0184,target001,autodock,-8.480,target001,dock,-33.118,0.702,True
ZINC000000000390,lig0185,target001,autodock,-8.980,target001,,,,False
ZINC000000000394,lig0186,target001,autodock,-7.560,target001,dock,-40.485,4.868,False
ZINC000000000411,lig0187,target001,autodock,-5.080,target001,dock,-27.004,4.072,False
ZINC000000000426,lig0188,target001,autodock,-6.450,target001,dock,-26.189,3.763,False
ZINC000000000430,lig0189,target001,autodock,-9.400,target001,,,,False
ZINC000000000431,lig0190,target001,autodock,-9.130,target001,dock,-34.218,20.169,False
ZINC000000000432,lig0191,target001,autodock,-8.000,target001,,,,False
ZINC000000000434,lig0192,target001,autodock,-7.570,target001,,,,False
ZINC000000000435,lig0193,target001,autodock,-8.060,target001,dock,-37.852,19.455,False
ZINC000000000436,lig0194,target001,autodock,-7.100,target001,dock,-36.164,3.921,False
ZINC000000000437,lig0195,target001,autodock,-7.630,target001,dock,-34.141,19.134,False
ZINC000000000440,lig0196,target001,autodock,-7.660,target001,dock,-33.666,4.604,False
ZINC000000000441,lig0197,target001,autodock,-6.800,target001,dock,-27.765,6.031,False
ZINC000000000447,lig0198,target001,autodock,-8.730,target001,,,,False
ZINC000000000450,lig0199,target001,autodock,-6.340,target001,dock,-32.876,20.115,False
ZINC000000000455,lig0200,target001,autodock,-6.290,target001,,,,False
ZINC000000000456,lig0201,target001,autodock,-6.530,target001,,,,False
ZINC000000000463,lig0202,target001,autodock,-7.380,target001,dock,-29.562,2.638,False
ZINC000000000464,lig0203,target001,autodock,-7.260,target001,dock,-31.086,21.598,False
ZINC000000000465,lig0204,target001,autodock,-7.160,target001,dock,-40.173,19.537,False
ZINC000000000467,lig0205,target001,autodock,-5.660,target001,dock,-27.498,15.681,False
ZINC000000000471,lig0206,target001,autodock,-6.600,target001,dock,-32.329,20.558,False
ZINC000000000472,lig0207,target001,autodock,-5.920,target001,dock,-30.629,22.248,False
ZINC000000000479,lig0208,target001,autodock,-6.520,target001,dock,-30.893,22.184,False
ZINC000000000485,lig0209,target001,autodock,-8.320,target001,,,,False
ZINC000000000499,lig0210,target001,autodock,-8.040,target001,dock,-38.683,5.605,False
ZINC000000000503,lig0211,target001,autodock,-7.110,target001,dock,-33.239,4.871,False
ZINC000000000510,lig0212,target001,autodock,-5.620,target001,dock,-33.157,10.969,False
ZINC000000000517,lig0213,target001,autodock,-7.550,target001,dock,-30.983,3.174,False
ZINC000000000521,lig0214,target001,autodock,-6.960,target001,dock,-35.693,3.567,False
ZINC000000000527,lig0215,target001,autodock,-9.940,target001,,,,False
ZINC000000000534,lig0216,target001,autodock,-9.500,target001,dock,-33.617,5.093,False
ZINC000000000538,lig0217,target001,autodock,-8.540,target001,dock,-35.341,21.615,False
ZINC000000000539,lig0218,target001,autodock,-8.340,target001,,,,False
ZINC000000000540,lig0219,target001,autodock,-8.180,target001,dock,-41.324,20.009,False
ZINC000000000541,lig0220,target001,autodock,-7.350,target001,dock,-35.264,4.350,False
ZINC000000000542,lig0221,target001,autodock,-8.150,target001,dock,-40.151,20.380,False
ZINC000000000547,lig0222,target001,autodock,-7.340,target001,dock,-34.542,10.918,False
ZINC000000000550,lig0223,target001,autodock,-5.620,target001,dock,-30.330,19.839,False
ZINC000000000551,lig0224,target001,autodock,-7.580,target001,,,,False
ZINC000000000552,lig0225,target001,autodock,-6.250,target001,dock,-25.969,14.727,False
ZINC000000000554,lig0226,target001,autodock,-8.470,target001,,,,False
ZINC000000000555,lig0227,target001,autodock,-8.070,target001,,,,False
ZINC000000000557,lig0228,target001,autodock,-6.990,target001,dock,-29.114,20.292,False
ZINC000000000560,lig0229,target001,autodock,-5.130,target001,dock,-26.355,19.491,False
ZINC000000000565,lig0230,target001,autodock,-6.910,target001,,,,False
ZINC000000000566,lig0231,target001,autodock,-7.780,target001,dock,-33.737,5.235,False
ZINC000000000570,lig0232,target001,autodock,-7.760,target001,,,,False
ZINC000000000571,lig0233,target001,autodock,-5.310,target001,dock,-26.710,19.374,False
ZINC000000000575,lig0234,target001,autodock,-9.070,target001,dock,-35.185,20.065,False
ZINC000000000580,lig0235,target001,autodock,-9.270,target001,,,,False
ZINC000000000581,lig0236,target001,autodock,-7.040,target001,,,,False
ZINC000000000583,lig0237,target001,autodock,-8.640,target001,,,,False
ZINC000000000585,lig0238,target001,autodock,-7.550,target001,,,,False
ZINC000000000586,lig0239,target001,autodock,-8.610,target001,,,,False
ZINC000000000587,lig0240,target001,autodock,-7.390,target001,,,,False
ZINC000000000589,lig0241,target001,autodock,-8.680,target001,dock,-39.074,3.416,False
ZINC000000000603,lig0242,target001,autodock,-6.840,target001,dock,-30.485,20.919,False
ZINC000000000604,lig0243,target001,autodock,-7.120,target001,,,,False
ZINC000000000608,lig0244,target001,autodock,-6.830,target001,dock,-31.853,5.269,False
ZINC000000000617,lig0245,target001,autodock,-6.540,target001,dock,-33.447,3.889,False
ZINC000000000630,lig0246,target001,autodock,-7.540,target001,dock,-36.393,18.971,False
ZINC000000000632,lig0247,target001,autodock,-8.550,target001,,,,False
ZINC000000000635,lig0248,target001,autodock,-7.300,target001,,,,False
ZINC000000000637,lig0249,target001,autodock,-8.250,target001,,,,False
ZINC000000000641,lig0250,target001,autodock,-7.850,target001,dock,-29.592,19.722,False
ZINC000000000644,lig0251,target001,autodock,-9.130,target001,,,,False
ZINC000000000645,lig0252,target001,autodock,-7.930,target001,dock,-34.433,21.534,False
ZINC000000000646,lig0253,target001,autodock,-7.040,target001,dock,-38.501,13.588,False
ZINC000000000647,lig0254,target001,autodock,-9.060,target001,,,,False
ZINC000000000649,lig0255,target001,autodock,-6.930,target001,,,,False
ZINC000000000652,lig0256,target001,autodock,-7.840,target001,dock,-36.610,7.232,False
ZINC000000000657,lig0257,target001,autodock,-7.390,target001,dock,-34.179,19.887,False
ZINC000000000660,lig0258,target001,autodock,-6.620,target001,dock,-29.770,20.003,False
ZINC000000000665,lig0259,target001,autodock,-4.780,target001,dock,-30.078,3.494,False
ZINC000000000677,lig0260,target001,autodock,-10.460,target001,,,,False
ZINC000000000681,lig0261,target001,autodock,-6.890,target001,dock,-29.915,3.671,False
ZINC000000000682,lig0262,target001,autodock,-7.420,target001,,,,False
ZINC000000000685,lig0263,target001,autodock,-7.900,target001,dock,-27.697,6.521,False
ZINC000000000686,lig0264,target001,autodock,-8.410,target001,dock,-33.791,18.364,False
ZINC000000000693,lig0265,target001,autodock,-6.670,target001,dock,-33.743,21.181,False
ZINC000000000694,lig0266,target001,autodock,-8.400,target001,,,,False
ZINC000000000704,lig0267,target001,autodock,-7.070,target001,dock,-44.445,13.330,False
ZINC000000000707,lig0268,target001,autodock,-9.040,target001,dock,-32.448,21.313,False
ZINC000000000710,lig0269,target001,autodock,-7.150,target001,dock,-32.679,0.001,True
ZINC000000000711,lig0270,target001,autodock,-4.820,target001,dock,-32.074,9.849,False
ZINC000000000721,lig0271,target001,autodock,-5.960,target001,dock,-26.904,22.227,False
ZINC000000000722,lig0272,target001,autodock,-9.560,target001,,,,False
ZINC000000000724,lig0273,target001,autodock,-6.870,target001,dock,-32.697,7.055,False
ZINC000000000726,lig0274,target001,autodock,-6.760,target001,dock,-28.285,21.386,False
ZINC000000000735,lig0275,target001,autodock,-9.200,target001,,,,False
ZINC000000000738,lig0276,target001,autodock,-7.130,target001,dock,-35.748,20.871,False
ZINC000000000740,lig0277,target001,autodock,-8.220,target001,,,,False
ZINC000000000744,lig0278,target001,autodock,-6.800,target001,dock,-39.940,16.742,False
ZINC000000000748,lig0279,target001,autodock,-7.910,target001,,,,False
ZINC000000000753,lig0280,target001,autodock,-9.580,target001,,,,False
ZINC000000000754,lig0281,target001,autodock,-7.050,target001,dock,-32.522,0.001,True
ZINC000000000757,lig0282,target001,autodock,-6.070,target001,dock,-28.522,18.232,False
ZINC000000000764,lig0283,target001,autodock,-6.350,target001,dock,-32.353,21.128,False
ZINC000000000765,lig0284,target001,autodock,-6.140,target001,dock,-32.602,4.585,False
ZINC000000000776,lig0285,target001,autodock,-7.360,target001,,,,False
ZINC000000000777,lig0286,target001,autodock,-8.390,target001,dock,-48.863,21.499,False
ZINC000000000781,lig0287,target001,autodock,-7.740,target001,,,,False
ZINC000000000783,lig0288,target001,autodock,-7.600,target001,,,,False
ZINC000000000784,lig0289,target001,autodock,-7.790,target001,,,,False
ZINC000000000785,lig0290,target001,autodock,-6.990,target001,dock,-39.498,24.649,False
ZINC000000000791,lig0291,target001,autodock,-6.350,target001,dock,-32.913,20.111,False
ZINC000000000792,lig0292,target001,autodock,-7.860,target001,,,,False
ZINC000000000794,lig0293,target001,autodock,-7.550,target001,,,,False
ZINC000000000795,lig0294,target001,autodock,-6.500,target001,dock,-33.658,21.040,False
ZINC000000000800,lig0295,target001,autodock,-8.110,target001,,,,False
ZINC000000000802,lig0296,target001,autodock,-7.490,target001,dock,-41.854,7.300,False
ZINC000000000803,lig0297,target001,autodock,-7.910,target001,dock,-38.847,20.177,False
ZINC000000000807,lig0298,target001,autodock,-7.410,target001,,,,False
ZINC000000000810,lig0299,target001,autodock,-5.690,target001,,,,False
ZINC000000000811,lig0300,target001,autodock,-5.970,target001,,,,False
ZINC000000000813,lig0301,target001,autodock,-6.160,target001,dock,-35.729,2.792,False
ZINC000000000814,lig0302,target001,autodock,-6.850,target001,dock,-36.077,5.623,False
ZINC000000000815,lig0303,target001,autodock,-6.670,target001,,,,False
ZINC000000000817,lig0304,target001,autodock,-6.010,target001,,,,False
ZINC000000000818,lig0305,target001,autodock,-7.230,target001,,,,False
ZINC000000000825,lig0306,target001,autodock,-5.070,target001,dock,-26.162,19.981,False
ZINC000000000826,lig0307,target001,autodock,-7.220,target001,dock,-35.289,21.402,False
ZINC000000000829,lig0308,target001,autodock,-8.180,target001,,,,False
ZINC000000000839,lig0309,target001,autodock,-7.250,target001,,,,False
ZINC000000000844,lig0310,target001,autodock,-7.670,target001,,,,False
ZINC000000000847,lig0311,target001,autodock,-9.440,target001,,,,False
ZINC000000000850,lig0312,target001,autodock,-7.140,target001,dock,-32.836,2.560,False
ZINC000000000854,lig0313,target001,autodock,-6.840,target001,,,,False
ZINC000000000856,lig0314,target001,autodock,-8.240,target001,,,,False
ZINC000000000857,lig0315,target001,autodock,-8.120,target001,dock,-35.456,5.332,False
ZINC000000000859,lig0316,target001,autodock,-5.880,target001,dock,-29.296,19.965,False
ZINC000000000860,lig0317,target001,autodock,-9.040,target001,,,,False
ZINC000000000861,lig0318,target001,autodock,-8.410,target001,,,,False
ZINC000000000865,lig0319,target001,autodock,-7.730,target001,dock,-36.798,7.598,False
ZINC000000000867,lig0320,target001,autodock,-8.300,target001,dock,-35.349,4.175,False
ZINC000000000868,lig0321,target001,autodock,-6.350,target001,dock,-32.697,2.107,False
ZINC000000000869,lig0322,target001,autodock,-7.090,target001,dock,-36.280,21.289,False
ZINC000000000882,lig0323,target001,autodock,-4.760,target001,dock,-23.651,24.130,False
ZINC000000000883,lig0324,target001,autodock,-7.520,target001,dock,-31.946,7.889,False
ZINC000000000886,lig0325,target001,autodock,-7.190,target001,dock,-27.495,0.837,True
ZINC000000000887,lig0326,target001,autodock,-6.650,target001,dock,-28.011,2.461,False
ZINC000000000888,lig0327,target001,autodock,-8.400,target001,dock,-31.028,20.395,False
ZINC000000000889,lig0328,target001,autodock,-7.090,target001,dock,-36.310,1.421,True
ZINC000000000903,lig0329,target001,autodock,-8.270,target001,,,,False
ZINC000000000905,lig0330,target001,autodock,-3.430,target001,dock,-35.005,4.842,False
ZINC000000000913,lig0331,target001,autodock,-7.760,target001,,,,False
ZINC000000000915,lig0332,target001,autodock,-6.170,target001,dock,-30.433,20.638,False
ZINC000000000939,lig0333,target001,autodock,-7.360,target001,dock,-36.484,5.355,False
