name,ligID,targetID_autodock,instance_autodock,autodock,targetID_dsx,instance_dsx,dsx,rmsd_autodock_dsx,consensus
ZINC000000038920,lig3725,target001,vina,-10.740,target001,vina,-95.906,0.000,True
ZINC000000038930,lig3726,target001,autodock,-8.050,target001,autodock,-103.830,10.729,False
ZINC000000038951,lig3727,target001,autodock,-9.740,target001,autodock,-91.515,4.184,False
ZINC000000038953,lig3728,target001,autodock,-10.010,target001,dock,-100.620,4.231,False
ZINC000000038954,lig3729,target001,autodock,-10.530,target001,autodock,-90.079,0.000,True
ZINC000000038958,lig3730,target001,autodock,-6.860,target001,vina,-70.976,5.896,False
ZINC000000038959,lig3731,target001,autodock,-8.850,target001,autodock,-85.685,6.143,False
ZINC000000038970,lig3732,target001,autodock,-7.120,target001,autodock,-73.326,6.917,False
ZINC000000038972,lig3733,target001,autodock,-7.350,target001,vina,-87.141,20.030,False
ZINC000000038978,lig3734,target001,autodock,-6.510,target001,vina,-70.861,4.504,False
ZINC000000038980,lig3735,target001,autodock,-10.250,target001,vina,-96.933,14.911,False
ZINC000000038982,lig3736,target001,autodock,-11.130,target001,vina,-101.334,1.714,True
ZINC000000038985,lig3737,target001,vina,-7.260,target001,autodock,-95.659,9.153,False
ZINC000000038987,lig3738,target001,autodock,-8.140,target001,autodock,-82.044,0.000,True
ZINC000000038991,lig3739,target001,autodock,-8.380,target001,dock,-99.892,17.513,False
ZINC000000038994,lig3740,target001,vina,-9.150,target001,vina,-89.499,3.896,False
ZINC000000039002,lig3741,target001,autodock,-6.860,target001,autodock,-72.867,12.322,False
ZINC000000039006,lig3742,target001,dock,-8.090,target001,dock,-75.841,0.000,True
ZINC000000039018,lig3743,target001,autodock,-10.350,target001,vina,-101.119,3.856,False
ZINC000000039022,lig3744,target001,autodock,-8.610,target001,autodock,-85.237,4.111,False
ZINC000000039029,lig3745,target001,autodock,-7.850,target001,vina,-84.997,6.485,False
ZINC000000039030,lig3746,target001,autodock,-8.890,target001,autodock,-85.117,1.753,True
ZINC000000039043,lig3747,target001,autodock,-8.570,target001,vina,-100.357,1.567,True
ZINC000000039049,lig3748,target001,autodock,-5.770,target001,autodock,-62.358,0.467,True
ZINC000000039064,lig3749,target001,vina,-7.350,target001,dock,-67.423,21.314,False
ZINC000000039068,lig3750,target001,autodock,-7.360,target001,autodock,-70.322,0.000,True
ZINC000000039081,lig3751,target001,autodock,-6.290,target001,autodock,-84.428,3.089,False
ZINC000000039092,lig3752,target001,autodock,-7.760,target001,vina,-85.555,7.277,False
ZINC000000039119,lig3753,target001,autodock,-10.240,target001,autodock,-98.753,3.120,False
ZINC000000039126,lig3754,target001,autodock,-8.020,target001,vina,-80.153,12.927,False
ZINC000000039151,lig3755,target001,autodock,-7.550,target001,autodock,-83.596,4.503,False
ZINC000000039173,lig3756,target001,autodock,-7.910,target001,autodock,-80.284,3.119,False
ZINC000000039177,lig3757,target001,autodock,-7.550,target001,autodock,-83.865,2.258,False
ZINC000000039190,lig3758,target001,autodock,-9.170,target001,autodock,-88.619,5.444,False
ZINC000000039201,lig3759,target001,vina,-9.060,target001,autodock,-88.810,5.083,False
ZINC000000039204,lig3760,target001,autodock,-10.040,target001,vina,-91.354,9.844,False
ZINC000000039209,lig3761,target001,autodock,-8.060,target001,autodock,-80.351,5.298,False
ZINC000000039210,lig3762,target001,autodock,-9.340,target001,autodock,-85.781,5.506,False
ZINC000000039211,lig3763,target001,autodock,-7.370,target001,dock,-79.778,22.104,False
ZINC000000039212,lig3764,target001,vina,-9.010,target001,vina,-91.482,6.343,False
ZINC000000039213,lig3765,target001,autodock,-6.800,target001,vina,-91.274,6.425,False
ZINC000000039214,lig3766,target001,autodock,-8.790,target001,vina,-94.343,4.610,False
ZINC000000039225,lig3767,target001,autodock,-7.430,target001,autodock,-79.283,3.322,False
ZINC000000039226,lig3768,target001,autodock,-10.260,target001,autodock,-106.734,1.327,True
ZINC000000039242,lig3769,target001,autodock,-7.760,target001,autodock,-97.983,0.000,True
ZINC000000039245,lig3770,target001,vina,-9.790,target001,vina,-110.962,0.000,True
ZINC000000039253,lig3771,target001,autodock,-7.460,target001,autodock,-107.400,8.995,False
ZINC000000039267,lig3772,target001,autodock,-7.920,target001,autodock,-95.167,0.000,True
ZINC000000039268,lig3773,target001,autodock,-9.330,target001,vina,-94.007,0.000,True
ZINC000000039271,lig3774,target001,vina,-7.770,target001,autodock,-89.873,2.746,False
ZINC000000039280,lig3775,target001,autodock,-8.620,target001,autodock,-85.168,5.825,False
ZINC000000039283,lig3776,target001,autodock,-7.430,target001,autodock,-84.917,0.000,True
ZINC000000039285,lig3777,target001,autodock,-7.630,target001,autodock,-91.642,7.575,False
ZINC000000039330,lig3778,target001,vina,-6.540,target001,dock,-109.454,3.619,False
ZINC000000039331,lig3779,target001,autodock,-7.700,target001,autodock,-77.404,6.210,False
ZINC000000039360,lig3780,target001,autodock,-9.510,target001,vina,-100.979,6.240,False
ZINC000000039379,lig3781,target001,autodock,-8.310,target001,autodock,-110.207,6.099,False
ZINC000000039400,lig3782,target001,dock,-8.320,target001,dock,-101.671,0.000,True
ZINC000000039405,lig3783,target001,autodock,-8.730,target001,autodock,-101.602,6.809,False
ZINC000000039411,lig3784,target001,autodock,-8.280,target001,dock,-99.504,6.626,False
ZINC000000039428,lig3785,target001,autodock,-11.390,target001,autodock,-127.551,0.000,True
ZINC000000039432,lig3786,target001,autodock,-8.450,target001,vina,-77.072,2.991,False
