name,ligID,targetID_autodock,instance_autodock,autodock,targetID_vina,instance_vina,vina,targetID_dsx,instance_dsx,dsx,rmsd_autodock_vina,rmsd_autodock_dsx,consensus
ZINC000000000764,lig0283,target001,autodock,-6.970,target001,autodock,-7.091,target001,dock,-72.992,20.883,20.538,False
ZINC000000000765,lig0284,target001,dock,-6.010,target001,vina,-6.644,target001,vina,-80.651,4.933,0.930,False
ZINC000000000776,lig0285,target001,autodock,-8.930,target001,autodock,-6.503,target001,autodock,-102.742,3.433,0.000,False
ZINC000000000777,lig0286,target001,autodock,-8.660,target001,autodock,-7.322,target001,vina,-99.421,0.000,0.662,True
ZINC000000000781,lig0287,target001,autodock,-7.150,target001,vina,-5.631,target001,autodock,-88.146,4.357,4.527,False
ZINC000000000783,lig0288,target001,autodock,-10.300,target001,vina,-6.296,target001,autodock,-106.176,17.208,0.000,False
ZINC000000000784,lig0289,target001,vina,-8.640,target001,vina,-9.096,target001,autodock,-97.605,0.000,1.185,True
ZINC000000000785,lig0290,target001,autodock,-6.850,target001,dock,-6.060,target001,vina,-76.734,21.361,11.806,False
ZINC000000000791,lig0291,target001,autodock,-6.900,target001,autodock,-6.051,target001,dock,-69.885,1.550,21.413,False
ZINC000000000792,lig0292,target001,autodock,-8.620,target001,vina,-7.661,target001,autodock,-102.869,5.481,7.516,False
ZINC000000000794,lig0293,target001,autodock,-7.400,target001,vina,-6.278,target001,vina,-88.329,5.721,4.688,False
ZINC000000000795,lig0294,target001,autodock,-6.460,target001,autodock,-8.820,target001,autodock,-95.100,0.003,0.000,True
ZINC000000000800,lig0295,target001,autodock,-8.890,target001,autodock,-6.836,target001,vina,-91.026,3.628,3.746,False
ZINC000000000802,lig0296,target001,autodock,-8.100,target001,autodock,-7.486,target001,autodock,-102.332,0.000,0.000,True
ZINC000000000803,lig0297,target001,autodock,-8.490,target001,autodock,-8.283,target001,autodock,-99.179,2.091,2.091,False
ZINC000000000807,lig0298,target001,autodock,-8.550,target001,autodock,-7.066,target001,autodock,-101.562,0.000,0.000,True
ZINC000000000810,lig0299,target001,autodock,-5.740,target001,autodock,-5.327,target001,vina,-98.234,4.110,17.184,False
ZINC000000000811,lig0300,target001,autodock,-7.040,target001,autodock,-6.067,target001,autodock,-91.397,0.000,0.000,True
